Title,DocumentURL
The Eulogy of King Prasat Thong,https://api.elsevier.com/content/abstract/scopus_id/85174936011
Time-periodic quantum states of weakly interacting bosons in a harmonic trap,https://api.elsevier.com/content/abstract/scopus_id/85092259283
Mechanochemical reactions of MnO<inf>2</inf> and graphite nanosheets as a durable zinc ion battery cathode,https://api.elsevier.com/content/abstract/scopus_id/85090414767
Fabrication of molybdenum doped carbon nitride nanosheets for efficiently photocatalytic water splitting,https://api.elsevier.com/content/abstract/scopus_id/85089801467
Near-room-temperature superconductivity of Mg/Ca substituted metal hexahydride under pressure,https://api.elsevier.com/content/abstract/scopus_id/85089658682
Autophagy related protein 9A increase in hepatitis B virus-associated hepatocellular carcinoma and the role in apoptosis,https://api.elsevier.com/content/abstract/scopus_id/85099373324
Deterioration of Open-cell Aluminum Foam in Strong Sulfuric Acid,https://api.elsevier.com/content/abstract/scopus_id/85099249028
Preface and Welcome Speech (ICEIT 2020),https://api.elsevier.com/content/abstract/scopus_id/85099228918
Influence of Annealing Temperature on Structural Properties and Stability of CsPbBr<inf>3</inf>/TiO<inf>2</inf>Core/Shell,https://api.elsevier.com/content/abstract/scopus_id/85099196393
Kinetic study for the co-pyrolysis of water hyacinth biomass with waste polystyrene,https://api.elsevier.com/content/abstract/scopus_id/85099175285
Multifunctional catalyst of Cu/ZnO and molecular sieve for low temperature CO2 conversion to methanol,https://api.elsevier.com/content/abstract/scopus_id/85099127391
Performance and cost analysis of hydrogen production from steam reforming and dehydrogenation of ethanol,https://api.elsevier.com/content/abstract/scopus_id/85099118774
Biomarker-guided preemption of steroid-refractory graft-versus-host disease with a-1-antitrypsin,https://api.elsevier.com/content/abstract/scopus_id/85098074752
Origins of Electrostriction in Poly(vinylidene fluoride)-Based Ferroelectric Polymers,https://api.elsevier.com/content/abstract/scopus_id/85097796061
Spectral proper orthogonal decomposition analysis of the turbulent wake of a disk at Re = 50 000 SPECTRAL PROPER ORTHOGONAL DECOMPOSITION ... S. NIDHAN et al.,https://api.elsevier.com/content/abstract/scopus_id/85098137762
Generation of (: Z)-β-alkenyl alkylsulfones via a copper-catalyzed decarboxylative alkylsulfonylation,https://api.elsevier.com/content/abstract/scopus_id/85097884723
The Relationship between a Kelsenian Constitutional Court and an Entrenched National Ideology: Lessons from Thailand and Indonesia,https://api.elsevier.com/content/abstract/scopus_id/85138093443
Nanofibrillation and characterization of sugarcane bagasse agro-waste using water-based steam explosion and high-pressure homogenization,https://api.elsevier.com/content/abstract/scopus_id/85089493654
Mitochondria and immunity in chronic fatigue syndrome,https://api.elsevier.com/content/abstract/scopus_id/85085542415
Effects of pursed-lip breathing and forward trunk lean postures on total and compartmental lung volumes and ventilation in patients with mild to moderate chronic obstructive pulmonary disease: An observational study,https://api.elsevier.com/content/abstract/scopus_id/85099115706
Dark Matter of Primate Genomes: Satellite DNA Repeats and Their Evolutionary Dynamics,https://api.elsevier.com/content/abstract/scopus_id/85099076665
Biochemical and Structural Investigation of GnnA in the Lipopolysaccharide Biosynthesis Pathway of Acidithiobacillus ferrooxidans,https://api.elsevier.com/content/abstract/scopus_id/85096524596
A global &amp; environmental coral analysis system with spa-based semantic computing for integrating and visualizing ocean-phenomena with “5-dimensional world-map”,https://api.elsevier.com/content/abstract/scopus_id/85099229822
A concept for control and program based on the semantic space model,https://api.elsevier.com/content/abstract/scopus_id/85099189130
Characteristics evaluation of fluorescein sodium as fluorescent tracer for petroleum wells,https://api.elsevier.com/content/abstract/scopus_id/85098008677
Syntheses and anti-HIV and human cluster of differentiation 4 (CD4) down-modulating potencies of pyridine-fused cyclotriazadisulfonamide (CADA) compounds,https://api.elsevier.com/content/abstract/scopus_id/85096172220
"Incidence, Persistence, and Factors Associated with HPV Infection among Male Adolescents with and Without Perinatally Acquired HIV Infection",https://api.elsevier.com/content/abstract/scopus_id/85096152362
Bio-methanol production from oil palm residues: A thermodynamic analysis,https://api.elsevier.com/content/abstract/scopus_id/85094146561
What matters in cost of debt: audit partner public-client specialization or busyness?,https://api.elsevier.com/content/abstract/scopus_id/85092614541
Electrically controlled release of anticancer drug 5-fluorouracil from carboxymethyl cellulose hydrogels,https://api.elsevier.com/content/abstract/scopus_id/85092126813
Culturally relevant constructionist design: exploring the role of community in identity development,https://api.elsevier.com/content/abstract/scopus_id/85089597367
Effect of amine types and temperature of a natural rubber based composite material on the carbon dioxide capture,https://api.elsevier.com/content/abstract/scopus_id/85087907671
Synergistic Effect of the Oleic Acid and Oleylamine Mixed-Liquid Matrix on Particle Size and Stability of Sputtered Metal Nanoparticles,https://api.elsevier.com/content/abstract/scopus_id/85097750927
Understanding the Effects of Antecedents on Continuance Intention to Gather Food Safety Information on Websites,https://api.elsevier.com/content/abstract/scopus_id/85098112502
A Dual Approach in Direct Ink Writing of Thermally Cured Shape Memory Rubber Toughened Epoxy,https://api.elsevier.com/content/abstract/scopus_id/85096649930
An agile-stage-gate model for medical startups: A case study of a medical product startup in Thailand,https://api.elsevier.com/content/abstract/scopus_id/85117450536
Decision Support System for Power Plant Improvement Investment Using Life-Cycle Cost,https://api.elsevier.com/content/abstract/scopus_id/85100018178
Observation of electroweak production of Wγ with two jets in proton-proton collisions at s=13 TeV,https://api.elsevier.com/content/abstract/scopus_id/85098720639
Quasars That Have Transitioned from Radio-quiet to Radio-loud on Decadal Timescales Revealed by VLASS and FIRST,https://api.elsevier.com/content/abstract/scopus_id/85098285100
3HWC: The Third HAWC Catalog of Very-high-energy Gamma-Ray Sources,https://api.elsevier.com/content/abstract/scopus_id/85098267283
Behavior of concrete confined with epoxy bonded fiber ropes under axial load,https://api.elsevier.com/content/abstract/scopus_id/85088139410
"Willingness to pay for flood insurance: A case study in Phang Khon, Sakon Nakhon Province, Thailand",https://api.elsevier.com/content/abstract/scopus_id/85098010041
Introducing raspberry Pi and its peripherals to a mechatronics course under COVID-19 Disruption,https://api.elsevier.com/content/abstract/scopus_id/85102977899
"Search for bottom-type, vectorlike quark pair production in a fully hadronic final state in proton-proton collisions at s =13 TeV",https://api.elsevier.com/content/abstract/scopus_id/85098251241
"2D Sequential Restoration and Basin Evolution of the Wichianburi Sub-basin, Phetchabun Basin, Central Thailand",https://api.elsevier.com/content/abstract/scopus_id/85098079502
Enhanced selective cytotoxicity of doxorubicin to breast cancer cells by methoxypolyethylene glycol conjugation via a novel beta-thiopropanamide linker,https://api.elsevier.com/content/abstract/scopus_id/85092526437
Enrichment and characterization of bacterial consortia for degrading 2-mercaptobenzothiazole in rubber industrial wastewater,https://api.elsevier.com/content/abstract/scopus_id/85087364284
Ca<sup>2+</sup>/Calmodulin Complex Triggers CAMTA Transcriptional Machinery Under Stress in Plants: Signaling Cascade and Molecular Regulation,https://api.elsevier.com/content/abstract/scopus_id/85097777498
The Pain–to–Well-Being Relationship in Patients Experiencing Chronic Orofacial Pain,https://api.elsevier.com/content/abstract/scopus_id/85097761240
The Expression of Proteins Related to Serotonin Pathway in Pulmonary Arteries of Dogs Affected With Pulmonary Hypertension Secondary to Degenerative Mitral Valve Disease,https://api.elsevier.com/content/abstract/scopus_id/85097754956
Computational Design of 25-mer Peptide Binders of SARS-CoV-2,https://api.elsevier.com/content/abstract/scopus_id/85096600433
"Enhanced post-licensure safety surveillance of a new recombinant acellular pertussis vaccine licensed as a monovalent (aP, Pertagen®) and tetanus, reduced-dose diphtheria combination (TdaP, Boostagen®) vaccine for immunization of adolescents and adults in Thailand",https://api.elsevier.com/content/abstract/scopus_id/85095823833
Comparative study of Tetra-N-Butyl ammonium bromide and cyclopentane on the methane hydrate formation and dissociation,https://api.elsevier.com/content/abstract/scopus_id/85107123213
Trends and determinants of ebf among adolescent children born to adolescent mothers in rural Bangladesh,https://api.elsevier.com/content/abstract/scopus_id/85097680002
"Spatial Distribution and Contamination Status of Copper and Chromium in Transshipment Area, Sichang Island, Thailand",https://api.elsevier.com/content/abstract/scopus_id/85097336396
"Distribution of phylogenetic groups, adhesin genes, biofilm formation, and antimicrobial resistance of uropathogenic Escherichia coli isolated from hospitalized patients in Thailand",https://api.elsevier.com/content/abstract/scopus_id/85097315678
Comparison of the effects of chair height and anterior seat inclination on sit-to-stand ability in children with spastic diplegic cerebral palsy,https://api.elsevier.com/content/abstract/scopus_id/85095697271
Endotoxemia and circulating bacteriome in severe COVID-19 patients,https://api.elsevier.com/content/abstract/scopus_id/85132483734
Is interleukin 17 (Il-17) expression a common point in the pathogenesis of depression and obesity?,https://api.elsevier.com/content/abstract/scopus_id/85111945531
Physicochemical and functional characteristics of rd43 rice flour and its food application,https://api.elsevier.com/content/abstract/scopus_id/85107909416
INNOVATIVE ENTREPRENEURSHIP MODEL FOR AGRICULTURAL PROCESSING SMES IN THAILAND’S DIGITAL AND INDUSTRIES 4.0 ERA,https://api.elsevier.com/content/abstract/scopus_id/85103635326
NEW PRODUCT DEVELOPMENT CO CREATION PROCESS: A THAI CASE OF MICRO COMMUNITY ENTERPRISES OF NON-FOOD HERBAL PRODUCTS AND R&amp;D GOVERNMENT ORGANIZATIONS,https://api.elsevier.com/content/abstract/scopus_id/85103632868
Measurement of single-diffractive dijet production in proton–proton collisions at √s=8Te with the CMS and TOTEM experiments,https://api.elsevier.com/content/abstract/scopus_id/85102351243
Incidence of Myocardial Injury in COVID-19-Infected Patients: A Systematic Review and Meta-Analysis,https://api.elsevier.com/content/abstract/scopus_id/85102258323
Functional disability and quality of life in older adults with chronic low back pain,https://api.elsevier.com/content/abstract/scopus_id/85101854175
Composition inspired by ASEAN drums: Sakodai,https://api.elsevier.com/content/abstract/scopus_id/85101631590
"Three pillars of a sustainable creative City in ASEAN: Examples from Thailand, Singapore &amp; Indonesia",https://api.elsevier.com/content/abstract/scopus_id/85101597081
"As one door closes, another one opens new opportunities from COVID crisis",https://api.elsevier.com/content/abstract/scopus_id/85101556397
Recursive tube-partitioning algorithm for a class imbalance problem,https://api.elsevier.com/content/abstract/scopus_id/85101336389
"Trace metal composition of rainwater and aerosol from Kolkata, a megacity in eastern India",https://api.elsevier.com/content/abstract/scopus_id/85100808556
Rabbit as a reservoir of multidrug-resistant Acinetobacter baumannii expressing the Ade multidrug efflux pumps,https://api.elsevier.com/content/abstract/scopus_id/85100769693
